"N.Registro";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"47/003457";"";"CASA PEDRO";"NUÑEZ DE ARCE 4";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";"";"";"";
"49/000938";"";"CIRIACO";"PLAZA, 14";"49254";"Zamora";"Moral de Sayago";"ABELON";"ABELON";"980111111";"";"";"";"";"";"";"";"";"";
"49/001868";"";"LLAMAS";"C/ JOSE ANTONIO, 1";"49624";"Zamora";"Micereces de Tera";"ABRAVESES DE TERA";"ABRAVESES DE TERA";"980111111";"";"";"";"";"";"";"";"";"";
"34/001981";"";"RÁFAGA";"ANTONIO MONEDERO, 39";"34210";"Palencia";"Dueñas";"DUEÑAS";"";"979780880";"";"";"";"";"";"";"";"";"";
"49/001427";"";"EL CHAFLAN";"C/ MARCELINA DEL VALLE, 3";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 62 02 02";"";"";"";"";"";"25";"";"";"";
"49/000951";"";"LOS PARROS";"PLAZA LUIS RODRÍGUEZ DE MIGUEL, 3";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 01 74";"";"";"";"";"";"46";"";"";"";
"49/000705";"";"CENTRAL";"PLAZA MAYOR, 18";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 00 36";"";"";"";"";"";"40";"";"";"";
"49/000424";"";"LOS ARCOS";"C/ DERECHA DE TORO, 19";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 10 57";"";"";"";"";"";"30";"";"";"";
"49/002205";"";"LA RÍA";"PLAZA SANTA MARÍA, 10";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 11 21";"";"";"";"";"";"57";"";"";"";
"49/002374";"";"LOS LAURELES";"PLAZA LUIS RODRÍGUEZ DE MIGUEL, 110";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"616256612";"";"";"";"";"";"45";"";"";"";
"49/002585";"";"EL PINCHAZO";"LA IGLESIA, 5";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980111111";"";"";"";"";"";"18";"";"";"";
"37/003953";"";"PUB-BAR SANTA FE";"Avenida PORTUGAL 129";"37006";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"693265628";"";"";"";"";"";"";"";"";"";
"37/004367";"";"CAFE REAL";"Plaza MAYOR 7  BAJO";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923050670";"";"";"solucionesalmantinas@gmail.com";"";"";"36";"";"";"Si";
"47/001015";"";"TINO'S";"GAMAZO, 3";"47410";"Valladolid";"Olmedo";"OLMEDO";"OLMEDO";"983601188";"";"";"";"";"";"";"";"";"";
"47/003295";"";"BRITANIA";"SIMANCAS, CAMINO VIEJO, 6";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";"";"";"";
"47/000556";"";"MAMBO";"SAN FELIPE NERI 1";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";"";"";"";
"37/003811";"";"LA FUENTE";"C/. SALAMANCA, 1";"37405";"Salamanca";"Cantalpino";"CANTALPINO";"";"923/532311";"";"";"";"";"";"";"";"";"";
"37/003672";"";"REFUGIO";"HUMILLADERO, 7";"37760";"Salamanca";"Linares de Riofrío";"LINARES DE RIOFRIO";"LINARES DE RIOFRIO";"675837131";"";"";"";"";"";"";"";"";"";
"37/003338";"";"CAFE EL EXPRESO";"DOMINGO DE SOTO Nº 1";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"";"";"";"";
"37/002487";"";"MARIO 2";"PLAZA SAN JUSTO, 1";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"665527346";"";"";"";"";"";"";"";"";"";
"37/003325";"";"CAMBELL";"AVDA. REYES DE ESPAÑA 26";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923267736";"";"";"";"";"";"";"";"";"";
"37/004497";"";"LA PEDRESINA";"Plaza EUROPA 7";"37480";"Salamanca";"Fuentes de Oñoro";"FUENTES DE OÑORO";"FUENTES DE OÑORO";"000";"";"";"";"";"";"100";"";"";"Si";
"24/004980";"";"LA CASONA";"GERARDO POBLACIÓN, 51";"24811";"León";"Sabero";"OLLEROS DE SABERO";"OLLEROS DE SABERO";"987/718419";"";"";"";"";"";"";"";"";"";
"37/000165";"";"EL BARDAL";"AVDA. FEDERICO ANAYA, 52-54";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/239092";"";"";"";"";"";"";"";"";"";
"24/007124";"";"MARILOF";"MEDUL, 20";"24007";"León";"León";"LEON";"";"987/248168";"";"";"";"";"";"";"";"";"";
"24/004344";"";"EL CRUCE";"CTRA MADRID-CORUÑA, 17";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"";"";"";"";"";"";"";"";"";"";"";
"24/004410";"";"SMOKE KING";"Calle JOVELLANOS, 4";"24007";"León";"León";"LEON";"LEON";"630113270";"";"";"";"";"";"";"";"";"";
"24/005130";"";"TETUAN";"MARIANO ANDRES, 83";"24008";"León";"León";"LEON";"";"987/236320";"";"";"";"";"";"";"";"";"";
"37/000193";"";"CHIDOS BAR";"Plaza MERCADO 26";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"607286615";"";"";"chemapa4@gmail.com";"";"";"";"";"";"";
"37/000599";"";"VICTOR";"LA TORRE, 21";"37740";"Salamanca";"Santibáñez de Béjar";"SANTIBAÑEZ DE BEJAR";"";"";"";"";"";"";"";"";"";"";"";
"37/001135";"";"GONDOLA";"AVDA. PORTUGAL, 65-67";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"";"";"";"";"";"";"";"";"";"";
"37/001048";"";"""12 Y 23""";"C/.LIBERTAD 20 Y MERINAS, 3";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"";"";"";"";"";"";"";"";"";"";
"34/002286";"";"AMERICA NIGHT";"LAS ERAS, 4";"34220";"Palencia";"Magaz de Pisuerga";"MAGAZ DE PISUERGA";"MAGAZ DE PISUERGA";"979 000 000";"";"";"";"";"";"";"";"";"";
"49/000518";"";"LAGO";"PLAZA ESPAÑA, S/N";"49362";"Zamora";"Galende";"RIBADELAGO DE FRANCO";"RIBADELAGO DE FRANCO";"980111111";"";"";"";"";"";"20";"";"";"";
"47/003906";"";"TABERNA SAN BENITO";"FRANCISCO ZARANDONA 6";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983343655";"";"";"";"";"";"";"";"";"";
"47/004181";"";"CUÑARRO";"Calle EUROPA 12  BJ";"47009";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"685103208";"";"";"";"";"";"13";"";"";"";
"37/001631";"";"BONANZA";"PLAZA OESTE, 6";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"658585341";"";"";"";"";"";"";"";"";"";
"37/002197";"";"CASTILLA";"C/ CRUCE, 18";"37260";"Salamanca";"Villavieja de Yeltes";"VILLAVIEJA DE YELTES";"VILLAVIEJA DE YELTES";"923519121";"";"";"";"";"";"";"";"";"";
"37/003230";"";"PISCINAS GARRIDO";"AVDA. FEDERICO ANAYA S/N";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"";"";"";"";"";"";"";"";"";"";
"37/003962";"";"PARQUE DE LOS JESUITAS";"Pº. DE SAN ANTONIO (PARQUE DE LOS JESUITAS)";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"615810474";"";"";"";"";"";"";"";"";"Si";
"37/000689";"";"LAS ENDRINAS";"LAS HUERTAS, 1";"37766";"Salamanca";"Endrinal";"ENDRINAL";"ENDRINAL";"605337456";"";"";"";"";"";"";"";"";"";
"34/002302";"";"EL TOMILLO";"Carretera CTRA. VALLEJO DE ORBO";"34820";"Palencia";"Barruelo de Santullán";"BARRUELO DE SANTULLAN";"BARRUELO DE SANTULLAN";"979606358";"";"";"";"";"";"84";"";"";"";
"47/003808";"";"EL PASO";"ESPAÑA, PLAZA, 3";"47680";"Valladolid";"Mayorga";"MAYORGA";"MAYORGA";"983000000";"";"";"";"";"";"";"";"";"";
"05/001749";"";"EL PUENTE DE LOS RIVEROS";"PARAJE LOS RIVEROS, S/N.";"05489";"Ávila";"Candeleda";"CANDELEDA";"";"920 380 386";"";"";"";"";"";"";"";"";"";
"49/001624";"";"LOS HERREROS";"CARRETERA DE BARRIO S/N";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"980 62 07 06";"";"";"";"";"";"50";"";"";"";
"49/002399";"";"AKELARRE";"Carretera BARRIO LOMBA";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"980 62 16 27";"";"";"";"";"";"55";"";"";"";
"49/001874";"";"TERRA NOVA";"Calle LA PLAZA 11";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"644489554";"";"";"nataliaql20@hotmail.com";"";"";"18";"";"";"";
"49/000714";"";"LA ESTRELLA";"Plaza del Mercado 21";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"655573423";"";"";"laestrelladelpuente@gmail.com";"";"";"35";"";"";"Si";
"49/001850";"";"EL FONTANO";"CARRETERA DEL LAGO S/N";"49360";"Zamora";"Galende";"GALENDE";"GALENDE";"980.62 67 32";"";"";"";"";"";"45";"";"";"";
"49/001741";"";"PEÑA GULLÓN";"CARRETERA PUEBLA RIBADELAGO, KM 11";"49360";"Zamora";"Galende";"GALENDE";"GALENDE";"980 62 67 72";"";"";"";"";"";"45";"";"";"";
"05/002418";"";"LA PISCINA";"PICASSO, S/N.";"05113";"Ávila";"Burgohondo";"BURGOHONDO";"";"";"";"";"";"";"";"";"";"";"";
"47/000587";"";"LOS MOCHUELOS";"TIRSO DE MOLINA 25";"47010";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"659583567";"";"";"";"";"";"";"";"";"";
"24/005944";"";"ESLA";"FUENTE DE LOS PRADOS S/N";"24210";"León";"Mansilla de las Mulas";"MANSILLA DE LAS MULAS";"";"987/310089";"";"";"";"";"";"";"";"";"";
"24/006082";"";"BAR PISCINAS";"CTRA. CISTIERNA, S/N";"24210";"León";"Mansilla de las Mulas";"MANSILLA DE LAS MULAS";"";"";"";"";"";"";"";"";"";"";"";
"24/005818";"";"BAR DE LA PISCINA";"Avenida  POLIDEPORTIVO, S/N";"24393";"León";"Santa Marina del Rey";"SANTA MARINA DEL REY";"SANTA MARINA DEL REY";"987271360";"";"";"";"";"";"";"";"";"";
"24/005370";"";"PK2";"AV JOSE MARIA FERNANDEZ, 11";"24006";"León";"León";"LEON";"LEON";"608688357";"";"";"";"";"";"";"";"";"";
"24/003768";"";"CIRCULO CULTURAL RECREATIVO";"DOCTOR GONZALEZ ALVAREZ, S/N";"24350";"León";"Villarejo de Órbigo";"VEGUELLINA DE ORBIGO";"VEGUELLINA DE ORBIGO";"987/374173";"";"";"";"";"";"";"";"";"";
"24/005752";"";"BAR SAMOA";"Avenida GRAN VIA DE SAN MARCOS 35";"24001";"León";"León";"LEON";"LEON";"659526276";"";"";"";"";"";"";"";"";"";
"24/005083";"";"LIMBO";"Calle ASTURA 6";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"VALENCIA DE DON JUAN";"690822161";"";"";"";"";"";"";"";"";"";
"34/002303";"";"PISCINA LA LAGUNA";"VILLAMARTÍN,1";"34170";"Palencia";"Villaumbrales";"CASCON DE LA NAVA";"CASCON DE LA NAVA";"676221228";"";"";"";"";"";"32";"";"";"Si";
"37/003160";"";"QUEEN-PUB";"LA REJA, 2";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/252291";"";"";"";"";"";"";"";"";"";
"37/000516";"";"ECUADOR";"CALZADA TORO, 1";"37006";"Salamanca";"Salamanca";"SALAMANCA";"";"923/222075";"";"";"";"";"";"";"";"";"";
"37/001686";"";"LA VIGA";"Calle CONSUELO 14";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"663018468";"";"";"";"";"";"";"";"";"";
"37/004495";"";"GRILLO AZUL";"GRILLO,1";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/219233";"";"";"";"";"";"";"";"";"";
"37/004405";"";"LOS FAROLILLOS";"ALMOFEA, 47";"37175";"Salamanca";"Pereña de la Ribera";"PEREÑA";"PEREÑA";"000000000";"";"";"";"";"";"";"";"";"";
"37/004414";"";"LA TABERNA DE ANDRES";"CALZADA PRIMERA,2";"37339";"Salamanca";"Villoria";"VILLORIA";"VILLORIA";"923/356472";"";"";"";"";"";"";"";"";"";
"37/003379";"";"LA BODEGUILLA";"FILIBERTO VILLALOBOS, 221";"37770";"Salamanca";"Guijuelo";"GUIJUELO";"GUIJUELO";"923581330";"675837131";"";"";"";"";"";"";"";"";
"05/002744";"";"PUB YEKA";"CTRA. CANDELEDA, 4";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"";"";"";"";"";"";"";"";"";"";"";
"40/001594";"";"LA DEHESA (PISCINA MUNICIPAL DE CEREZO DE ABAJO)";"Calle DE LA SIERRA S/N";"40591";"Segovia";"Cerezo de Abajo";"CEREZO DE ABAJO";"CEREZO DE ABAJO";"657906021";"";"";"";"";"";"0";"";"";"";
"40/001607";"";"EL CHIRINGUITO";"C/ REBANAL, 6";"40194";"Segovia";"Palazuelos de Eresma";"PALAZUELOS DE ERESMA";"PALAZUELOS DE ERESMA";"635291796";"";"";"PATAGRANJA@HOTMAIL.COM";"";"";"";"";"";"";
"47/001699";"";"LA CEPA";"PENITENCIA 15";"47011";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983263603";"";"";"";"";"";"";"";"";"";
"47/004183";"";"BOLERA HOLPAS";"FRANCISCO SUAREZ 29";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"670819457";"";"";"";"";"";"";"";"";"";
"37/001797";"";"BEJAR";"SANCHEZ OCAÑA,48";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923 403108";"";"";"";"";"";"";"";"";"";
"05/001381";"";"LA PASTORA";"CAMINO DE LA LUZ., 15";"05480";"Ávila";"Candeleda";"CANDELEDA";"";"920 382 127";"";"";"";"";"";"";"";"";"";
"37/004397";"";"EL CORTINAR";"LAS LANCHAS S/N";"37720";"Salamanca";"Cerro (El)";"CERRO (EL)";"CERRO (EL)";"923/431113";"";"";"";"";"";"";"";"";"";
"37/003506";"";"LA MARNE 51";"CAMPO TOLEDO,6";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"";"";"";"";"";"";"";"";"";"";"";
"37/003200";"";"CABALLERO";"GONZALO DE OVALLE, 8";"37410";"Salamanca";"Pedroso de la Armuña (El)";"PEDROSO DE LA ARMUÑA (EL)";"PEDROSO DE LA ARMUÑA (EL)";"923/360246";"";"";"";"";"";"";"";"";"";
"37/002909";"";"GASTBY";"C/. BORDADORES, 16";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/217274";"";"";"";"";"";"";"";"";"";
"34/002304";"";"PISCINAS MUNICIPALES";"Pº. DE LOS OLMOS S/N";"34410";"Palencia";"Monzón de Campos";"MONZON DE CAMPOS";"MONZON DE CAMPOS";"626 264 121";"";"";"";"";"";"";"";"";"";
"34/002305";"";"PISCINAS MUNICIPALES";"PISCINAS,S/N.";"34249";"Palencia";"Villaviudas";"VILLAVIUDAS";"";"979788119";"";"";"";"";"";"";"";"";"";
"37/002262";"";"XANADU";"RECREO, 37";"37700";"Salamanca";"Béjar";"BEJAR";"";"";"";"";"";"";"";"";"";"";"";
"37/001984";"";"PACO";"HUMILLADERO, 39";"37720";"Salamanca";"Cerro (El)";"CERRO (EL)";"CERRO (EL)";"923/431113";"";"";"";"";"";"";"";"";"";
"37/001894";"";"LA HACIENDA";"BORDADORES, 4";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923265845";"";"";"";"";"";"";"";"";"";
"37/000442";"";"TEIDE";"Calle SAN FELICES 7";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"606693796";"";"";"";"";"";"";"-5,673936";"40,969464";"";
"37/004498";"";"PACO";"ELISA MUÑOZ 11";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"";"";"";"";"";"";"";"";"";"";"";
"37/000862";"";"KELLY";"GRAN VIA,12";"37001";"Salamanca";"Salamanca";"SALAMANCA";"";"923/215018";"";"";"";"";"";"";"";"";"";
"05/003077";"";"CHIRINGUITO DE LA PISCINA";"Calle PISCINA MUNICIPAL 1";"05198";"Ávila";"Sotalbo";"SOTALBO";"SOTALBO";"696869021";"";"";"";"";"";"";"";"";"";
"47/002960";"";"CAFETAMS";"Calle NUEVA DEL CARMEN 25";"47005";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"611601920";"";"";"tamaracafetams@gmail.com";"";"";"28";"";"";"";
"24/004699";"";"EL GARITO";"TORRIANO, 2";"24004";"León";"León";"LEON";"LEON";"0000";"";"";"";"";"";"";"";"";"";
"05/003054";"";"LAS VISTAS";"AVDA. CONSTITUCION, S/N.";"05492";"Ávila";"Poyales del Hoyo";"POYALES DEL HOYO";"";"";"";"";"";"";"";"";"";"";"";
"37/001804";"";"ROMULUS";"PLZ. AGUSTIN MARTIN SOLER,14";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"";"";"";"";"";"";"";"";"";"";"";
"37/000245";"";"LA CABAÑA";"Avenida VILLAMAYOR 33  BJ";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"619360566";"";"";"";"";"";"15";"";"";"Si";
"37/003966";"";"PISCINAS MUNICIPALES";"TESORO, S/N";"37170";"Salamanca";"Vega de Tirados";"VEGA DE TIRADOS";"VEGA DE TIRADOS";"";"";"";"";"";"";"";"";"";"";
"34/002306";"";"CALDERON";"REAL, S/N,";"34829";"Palencia";"Brañosera";"SALCEDILLO";"";"979181309";"";"";"";"";"";"16";"";"";"";
"37/000650";"";"FRANDELIA";"CTRA. SALAMANCA-ALBA, 13";"37191";"Salamanca";"Calvarrasa de Arriba";"CALVARRASA DE ARRIBA";"";"";"";"";"";"";"";"";"";"";"";
"37/003218";"";"RAÍCES";"PLZ.CARMELITAS, 12";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"657133473";"";"";"irmamartinmendo@gmail.com";"";"";"";"";"";"";
"24/005684";"";"COW BOY";"C/ CARRERA";"24718";"León";"Brazuelo";"GANSO (EL)";"";"";"";"";"";"";"";"";"";"";"";
"37/000634";"";"QUIM DIVINUN";"Plaza LIBERTAD 3";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923269893";"";"";"";"";"";"41";"";"";"";
"47/004185";"";"CENTRAL PARK";"ALAMILLOS, 2";"47005";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983660520";"";"";"";"";"";"35";"";"";"Si";
"05/000620";"";"FLORENTINO";"CTRA. ARENAS, 23";"05130";"Ávila";"Solosancho";"ROBLEDILLO";"";"920 291273";"";"";"";"";"";"";"";"";"";
"24/007168";"";"RELAMPAGO";"DOÑA URRACA 8";"24009";"León";"León";"LEON";"";"";"";"";"";"";"";"";"";"";"";
"24/001193";"";"CAPITOL";"BARRIO DE LA ESTACION";"24830";"León";"Matallana de Torío";"MATALLANA DE TORIO";"MATALLANA DE TORIO";"987/591143";"";"";"";"";"";"";"";"";"";
"37/002120";"";"CERVECERIA EL QUINITO";"ISAAC PERAL, Nº 5-7";"37004";"Salamanca";"Salamanca";"SALAMANCA";"";"600628111";"";"";"";"";"";"";"";"";"";
"37/002655";"";"CAFE BAR PETRA";"Calle ECUADOR 2-4";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"699864630";"";"";"metralleta76@gmail.com";"";"";"88";"";"";"Si";
"24/005127";"";"BAR PISCINA COLONIA MIGUEL ANGEL";"C/ S JOSE S/N";"24286";"León";"Hospital de Órbigo";"HOSPITAL DE ORBIGO";"";"";"";"";"";"";"";"";"";"";"";
"09/004247";"";"LA GLORIA";"CL/LA HOZ,  6";"09120";"Burgos";"Villadiego";"VILLADIEGO";"VILLADIEGO";"616904969";"";"";"";"";"";"48";"";"";"";
"24/007323";"";"AVECILLA";"NUEVE DE FEBRERO, 9";"24005";"León";"León";"LEON";"LEON";"647230074";"";"";"";"";"";"24";"";"";"";
"47/004182";"";"TAMARA";"JOAQÍN MARÍA JALÓN 22";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983470210";"";"";"";"";"";"58";"";"";"";
"47/001085";"";"ARRIBA";"SANTIAGO, 5";"47686";"Valladolid";"Melgar de Arriba";"MELGAR DE ARRIBA";"";"";"";"";"";"";"";"";"";"";"";
"40/000302";"";"TABERNA SIXTO";"Plaza  DEL SALVADOR, 4";"40260";"Segovia";"Fuentepelayo";"FUENTEPELAYO";"FUENTEPELAYO";"921574653";"";"";"";"";"";"";"";"";"";
"37/001994";"";"O'BRADY'S";"PORTALES DE CAMIÑAS, 8";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/260367";"";"";"";"";"";"";"";"";"";
"05/000600";"";"EL BRUJO";"JUAN XXIII, Nº 6";"05480";"Ávila";"Candeleda";"RASO (EL)";"";"";"";"";"";"";"";"";"";"";"";
